1ID,Abbr,Full,Source
95,QuadAPiem,Quaderni della soprintendenza archeologica del Piemonte,L’Erma
96,QuadlstTopA,Quaderni dell'istituto di topografia antica dell'università di Roma,L’Erma
97,QuadStLun,Quaderni di studi lunensi,L’Erma
98,PA,Revue archéologique,L’Erma
99,RAC,Rivista di archeologia cristiana,L’Erma
100,RaComo,Rivista archeologica dell'antica provincia e diocesi di Como,L’Erma
101,RAF,The Royal Air Force,L’Erma
102,RAL,Rendiconti della Classe di scienze morali, storiche e filologiche dell'Accademia Nazionale dei Lincei,L’Erma
103,RANap,Rendiconti dell'Accademia di archeologia, lettere e belle arti, Napoli,L’Erma
104,RANarb,Revue archéologique de Narbonnaise,L’Erma
105,RdA,Rivista di archeologia,L’Erma
106,RE,Pauly-Wissowa, Paulys Realencyclopädie der classischen Altertumswissenschaft,L’Erma
107,REA,Revue des études anciennes,L’Erma
108,REE,Rivista di epigrafia etrusca (in Studi Etruschi),L’Erma
109,RendPontAcc,Rendiconti della Pontificia Accadernia romana di archeologia,L’Erma
110,RFIC,Rivista di filologia e di istruzione classica,L’Erma
111,RIASA,Rivista dell'Istituto nazionale d'archeologia e storia dell'arte,L’Erma
112,RIL,Rendiconti dell'Istituto lombardo. Classe di Lettere, Scienze morali e storiche,L’Erma
113,RM,Mitteilungen des Deutschen Archäologischen Instituts. Römische Abteilung,L’Erma
114,RSL,Rivista di studi liguri,L’Erma
115,RSP,Rivista di studi pompeiani,L’Erma
116,ScAnt,Scienze dell'Antichità. Storia, archeologia, antropologia,L’Erma
117,SCO,Studi classici e orientali,L’Erma
118,SR,Studi romagnoli,L’Erma
119,StAnt,Studi di antichità. Università di Lecce,L’Erma
120,StEtr,Studi etruschi,L’Erma
121,StMac,Studi maceratesi,L’Erma
122,StMisc,Studi miscellanei. Seminario di archeologia e storia dell'arte greca e romana dell'Università di Roma,L’Erma
123,StPic,Studia picena,L’Erma
124,StRom,Studi romani,L’Erma
125,ThLL,Thesaurus Linguae Latinae,L’Erma
126,ZPE,Zeitschrift für Papyrologie und Epigraphik,L’Erma
127,ABL,C.H.E. Haspels, Attic Black-Figured Lekythoi (Paris 1936),AJA
